Sheet number,Sheet name,Source file,Sheet title
1,Table 1,SEW25DC01 T1_T10.xlsx,"Current study, by selected characteristics and state/territory, Persons aged 15–74 years(a)"
2,Table 2,SEW25DC01 T1_T10.xlsx,"Current study, by type of enrolment and state/territory, Persons aged 15–74 years"
3,Table 3,SEW25DC01 T1_T10.xlsx,"School study, by selected characteristics by age and sex, Persons aged 15–19 years"
4,Table 4,SEW25DC01 T1_T10.xlsx,"Studying for a non-school qualification, by level and age, by sex, Persons aged 15–74 years"
5,Table 5,SEW25DC01 T1_T10.xlsx,"Studying for a non-school qualification, by main field and sex, 2015 to 2025, Persons aged 15–74 years"
6,Table 6,SEW25DC01 T1_T10.xlsx,"Studying for a non-school qualification, by level and main field, Persons aged 15–74 years"
7,Table 7,SEW25DC01 T1_T10.xlsx,"Studying for a non-school qualification, by level and labour force status, by sex, Persons aged 15–74 years"
8,Table 8,SEW25DC01 T1_T10.xlsx,"Enrolled or applied to enrol in study, by educational institution and labour force status, Persons aged 15–74 years"
9,Table 9,SEW25DC01 T1_T10.xlsx,"Apprentices and trainees, by selected characteristics, 2015 to 2025, Persons aged 15–74 years(a)"
10,Table 10,SEW25DC01 T1_T10.xlsx,"Applied for but not undertaking an apprenticeship/traineeship, by selected characteristics, 2015 to 2025, Persons aged 15–74 years"
11,Table 11,SEW25DC02 T11_T12.xlsx,"Current study, by age, by geography and sex, Persons aged 15–74 years"
12,Table 12,SEW25DC02 T11_T12.xlsx,"Current study at certificate III level or above, by age, by geography and sex, Persons aged 15–74 years"
13,Table 13,SEW25DC03 T13_T14.xlsx,"Left school in previous year (2024), by selected characteristics and highest year of school completed, Persons aged 15–20 years(a)"
14,Table 14,SEW25DC03 T13_T14.xlsx,"Completion status of non-school qualification studied in previous year (2024), by level and main field, by labour force status, Persons aged 15–74 years"
15,Table 15,SEW25DC04 T15_T17.xlsx,"Engagement in employment and/or study, by selected characteristics, Persons aged 15–24 years"
16,Table 16,SEW25DC04 T15_T17.xlsx,"Full engagement in employment and/or study, by age, by geography and sex, Persons aged 15–74 years"
17,Table 17,SEW25DC04 T15_T17.xlsx,"Full engagement in employment and/or study (excluding school), by age, by geography and sex, Persons aged 15–24 years"
18,Table 18,SEW25DC05 T18_T20.xlsx,"Attainment of year 12 or equivalent, by age, by geography and sex, Persons aged 15–74 years"
19,Table 19,SEW25DC05 T18_T20.xlsx,"Attainment of year 12 or equivalent or non-school qualification at certificate II level or above, by age, by geography and sex, Persons aged 15–74 years"
20,Table 20,SEW25DC05 T18_T20.xlsx,"Attainment of year 12 or equivalent or non-school qualification at certificate III level or above, by age, by geography and sex, Persons aged 15–74 years"
21,Table 21,SEW25DC06 T21_T23.xlsx,"Highest educational attainment, by state/territory and sex, Persons aged 15–74 years"
22,Table 22,SEW25DC06 T21_T23.xlsx,"Highest educational attainment (non-school priority level), by labour force status and sex, Persons aged 15–74 years"
23,Table 23,SEW25DC06 T21_T23.xlsx,"Highest educational attainment by age of youngest child, by engagement in employment or study and sex, Persons aged 25–44 years"
24,Table 24,SEW25DC07 T24.xlsx,"Non-school qualifications, by selected characteristics and state/territory, Persons aged 15–74 years"
25,Table 25,SEW25DC08 T25_T27.xlsx,"Non-school qualifications, by age, by geography and sex, Persons aged 15–74 years"
26,Table 26,SEW25DC08 T25_T27.xlsx,"Non-school qualifications, by age and sex, 2016 to 2025, Persons aged 15-74 years"
27,Table 27,SEW25DC08 T25_T27.xlsx,"With or studying towards a non-school qualification, by age, by geography and sex, Persons aged 15–74 years(a)"
28,Table 28,SEW25DC09 T28_T32.xlsx,"Highest non-school qualification, by level and main field, by age and sex, Persons aged 15–74 years with a non-school qualification"
29,Table 29,SEW25DC09 T28_T32.xlsx,"Highest non-school qualification, by level and country completed, by state/territory, Persons aged 15–74 years"
30,Table 30,SEW25DC09 T28_T32.xlsx,"Highest non-school qualification, by level and main field, Persons aged 15–74 years with a non-school qualification"
31,Table 31,SEW25DC09 T28_T32.xlsx,"Employed persons highest non-school qualification, by level and selected characteristics, Persons aged 15–74 years"
32,Table 32,SEW25DC09 T28_T32.xlsx,"Employed persons skill level of occupation in current job, by selected characteristics, Persons aged 15–74 years(a)"
33,Table 33,SEW25DC10 T33_T35.xlsx,"Highest non-school qualification at certificate III level or above, by age, by geography and sex, Persons aged 15–74 years"
34,Table 34,SEW25DC10 T33_T35.xlsx,"Highest non-school qualification at bachelor degree level or above, by age, by geography and sex, Persons aged 15–74 years"
35,Table 35,SEW25DC10 T33_T35.xlsx,"Highest non-school qualification at bachelor degree level or above, by age and sex, 2016 to 2025, Persons aged 15–74 years"
