row_group,outcome_key,short_term_gap,medium_term_gap,gap_closure,short_term_low_label,short_term_high_label,medium_term_low_label,medium_term_high_label,row_group_order,reference_low_label,reference_high_label,pair_label
Home language,full_time_employment,16.4,0.8,15.6,Language other than English,English,Language other than English,English,0,Language other than English,English,Other vs English
Home language,overall_employment,13.7,2.1,11.6,Language other than English,English,Language other than English,English,0,Language other than English,English,Other vs English
Home language,labour_force_participation,4.2,4.4,-0.2,Language other than English,English,Language other than English,English,0,Language other than English,English,Other vs English
Study mode,full_time_employment,9.3,0.5,8.8,Internal/Mixed study mode,External study mode,Internal/Mixed study mode,External study mode,1,Internal/Mixed study mode,External study mode,Internal/Mixed vs External
Study mode,overall_employment,3.3,1.0,2.3,Internal/Mixed study mode,External study mode,Internal/Mixed study mode,External study mode,1,Internal/Mixed study mode,External study mode,Internal/Mixed vs External
Study mode,labour_force_participation,0.8,1.7,-0.9,External study mode,Internal/Mixed study mode,External study mode,Internal/Mixed study mode,1,Internal/Mixed study mode,External study mode,Internal/Mixed vs External
Locality,full_time_employment,8.9,0.5,8.4,Metro,Regional/Remote,Metro,Regional/Remote,2,Metro,Regional/Remote,Metro vs Regional/Remote
Locality,overall_employment,3.8,0.7,3.1,Metro,Regional/Remote,Metro,Regional/Remote,2,Metro,Regional/Remote,Metro vs Regional/Remote
Locality,labour_force_participation,0.5,0.6,-0.1,Metro,Regional/Remote,Regional/Remote,Metro,2,Metro,Regional/Remote,Metro vs Regional/Remote
Indigenous,full_time_employment,8.8,0.2,8.6,Non-Indigenous,Indigenous,Indigenous,Non-Indigenous,3,Non-Indigenous,Indigenous,Non-Indigenous vs Indigenous
Indigenous,overall_employment,1.9,1.6,0.3,Non-Indigenous,Indigenous,Indigenous,Non-Indigenous,3,Non-Indigenous,Indigenous,Non-Indigenous vs Indigenous
Indigenous,labour_force_participation,1.1,0.2,0.9,Indigenous,Non-Indigenous,Non-Indigenous,Indigenous,3,Non-Indigenous,Indigenous,Non-Indigenous vs Indigenous
Disability,full_time_employment,8.2,5.3,2.9,Disability reported,No disability reported,Disability reported,No disability reported,4,Disability reported,No disability reported,Disability reported vs No disability reported
Disability,overall_employment,4.5,3.1,1.4,Disability reported,No disability reported,Disability reported,No disability reported,4,Disability reported,No disability reported,Disability reported vs No disability reported
Disability,labour_force_participation,3.2,4.5,-1.3,Disability reported,No disability reported,Disability reported,No disability reported,4,Disability reported,No disability reported,Disability reported vs No disability reported
Age group,full_time_employment,7.7,0.9,6.8,30 years or under,Over 30 years,Over 30 years,30 years or under,5,30 years or under,Over 30 years,30 and under vs Over 30
Age group,overall_employment,1.9,0.4,1.5,30 years or under,Over 30 years,Over 30 years,30 years or under,5,30 years or under,Over 30 years,30 and under vs Over 30
Age group,labour_force_participation,2.9,2.4,0.5,Over 30 years,30 years or under,Over 30 years,30 years or under,5,30 years or under,Over 30 years,30 and under vs Over 30
Gender,full_time_employment,2.2,0.3,1.9,Male,Female,Male,Female,6,Male,Female,Male vs Female
Gender,overall_employment,3.3,1.2,2.1,Male,Female,Male,Female,6,Male,Female,Male vs Female
Gender,labour_force_participation,0.9,0.1,0.8,Male,Female,Female,Male,6,Male,Female,Male vs Female
First in family,full_time_employment,1.7,0.6,1.1,Not first in family,First in family,Not first in family,First in family,7,Not first in family,First in family,Not first in family vs First in family
First in family,overall_employment,1.2,0.6,0.6,Not first in family,First in family,First in family,Not first in family,7,Not first in family,First in family,Not first in family vs First in family
First in family,labour_force_participation,0.6,0.5,0.1,Not first in family,First in family,First in family,Not first in family,7,Not first in family,First in family,Not first in family vs First in family
Socio-economic status,full_time_employment,0.3,1.0,-0.7,High,Low,Low,High,8,High,Low,High vs Low
Socio-economic status,overall_employment,0.8,0.7,0.1,Low,Medium,Low,Medium,8,High,Low,High vs Low
Socio-economic status,labour_force_participation,0.9,0.4,0.5,High,Low,High,Low,8,High,Low,High vs Low
