age_group,age_order,skill_level,skill_order,share_pct,source_key
15–24,0,Skill level 1 (highest),0,12.3,sew_32
15–24,0,Skill level 2,1,5.6,sew_32
15–24,0,Skill level 3,2,17.3,sew_32
15–24,0,Skill level 4,3,29.4,sew_32
15–24,0,Skill level 5 (lowest),4,35.1,sew_32
25–34,1,Skill level 1 (highest),0,37.8,sew_32
25–34,1,Skill level 2,1,12.2,sew_32
25–34,1,Skill level 3,2,13.7,sew_32
25–34,1,Skill level 4,3,24.6,sew_32
25–34,1,Skill level 5 (lowest),4,11.3,sew_32
35–44,2,Skill level 1 (highest),0,45.0,sew_32
35–44,2,Skill level 2,1,12.4,sew_32
35–44,2,Skill level 3,2,11.8,sew_32
35–44,2,Skill level 4,3,22.4,sew_32
35–44,2,Skill level 5 (lowest),4,8.0,sew_32
45–54,3,Skill level 1 (highest),0,42.9,sew_32
45–54,3,Skill level 2,1,13.0,sew_32
45–54,3,Skill level 3,2,11.0,sew_32
45–54,3,Skill level 4,3,23.1,sew_32
45–54,3,Skill level 5 (lowest),4,9.6,sew_32
55–64,4,Skill level 1 (highest),0,33.2,sew_32
55–64,4,Skill level 2,1,12.4,sew_32
55–64,4,Skill level 3,2,11.8,sew_32
55–64,4,Skill level 4,3,28.8,sew_32
55–64,4,Skill level 5 (lowest),4,13.5,sew_32
65–74,5,Skill level 1 (highest),0,36.9,sew_32
65–74,5,Skill level 2,1,12.1,sew_32
65–74,5,Skill level 3,2,11.0,sew_32
65–74,5,Skill level 4,3,25.8,sew_32
65–74,5,Skill level 5 (lowest),4,14.3,sew_32
