selector_id,subgroup_dimension,time_window,time_window_order,reference_group,reference_group_pct,comparison_group,comparison_group_pct,signed_gap_pp,source_key,sort_order,comparison_kind
home_language,Home language,short_term,0,Other,58.1,English,74.5,16.4,gos_8,0,demographic
home_language,Home language,medium_term,1,Other,90.3,English,91.1,0.8,gos_l_160,0,demographic
study_mode,Study mode,short_term,0,Internal/Mixed,71.9,External,81.2,9.3,gos_8,1,demographic
study_mode,Study mode,medium_term,1,Internal/Mixed,91.0,External,91.5,0.5,gos_l_160,1,demographic
locality,Locality,short_term,0,Metro,71.7,Regional/Remote,80.6,8.9,gos_8,2,demographic
locality,Locality,medium_term,1,Metro,91.0,Regional/Remote,91.5,0.5,gos_l_160,2,demographic
indigenous,Indigenous,short_term,0,Non-Indigenous,73.9,Indigenous,82.7,8.8,gos_8,3,demographic
indigenous,Indigenous,medium_term,1,Non-Indigenous,91.1,Indigenous,90.9,-0.2,gos_l_160,3,demographic
disability,Disability,short_term,0,Disability reported,66.8,No disability reported,75.0,8.2,gos_8,4,demographic
disability,Disability,medium_term,1,Disability reported,86.3,No disability reported,91.6,5.3,gos_l_160,4,demographic
age_group,Age group,short_term,0,30 and under,72.4,Over 30,80.1,7.7,gos_8,5,demographic
age_group,Age group,medium_term,1,30 and under,91.3,Over 30,90.4,-0.9,gos_l_160,5,demographic
gender,Gender,short_term,0,Male,72.7,Female,74.9,2.2,gos_8,6,demographic
gender,Gender,medium_term,1,Male,90.9,Female,91.2,0.3,gos_l_160,6,demographic
first_in_family,First in family,short_term,0,Not first in family,73.4,First in family,75.1,1.7,gos_8,7,demographic
first_in_family,First in family,medium_term,1,Not first in family,88.0,First in family,88.6,0.6,gos_l_160,7,demographic
socio_economic_status,Socio-economic status,short_term,0,High,73.5,Low,73.8,0.3,gos_8,8,demographic
socio_economic_status,Socio-economic status,medium_term,1,High,91.5,Low,90.5,-1.0,gos_l_160,8,demographic
study_area_creative_arts,Study area,short_term,0,Creative arts,48.4,All undergraduate fields,74.0,25.6,gos_2,9,discipline
study_area_creative_arts,Study area,medium_term,1,Creative arts,81.3,All undergraduate fields,91.1,9.8,gos_l_6,9,discipline
study_area_rehabilitation,Study area,short_term,0,All undergraduate fields,74.0,Rehabilitation,94.9,20.9,gos_2,10,discipline
study_area_rehabilitation,Study area,medium_term,1,All undergraduate fields,91.1,Rehabilitation,96.5,5.4,gos_l_6,10,discipline
study_area_pharmacy,Study area,short_term,0,All undergraduate fields,74.0,Pharmacy,91.4,17.4,gos_2,11,discipline
study_area_pharmacy,Study area,medium_term,1,All undergraduate fields,91.1,Pharmacy,95.6,4.5,gos_l_6,11,discipline
study_area_medicine,Study area,short_term,0,All undergraduate fields,74.0,Medicine,90.4,16.4,gos_2,12,discipline
study_area_medicine,Study area,medium_term,1,All undergraduate fields,91.1,Medicine,99.3,8.2,gos_l_6,12,discipline
study_area_communications,Study area,short_term,0,Communications,58.3,All undergraduate fields,74.0,15.7,gos_2,13,discipline
study_area_communications,Study area,medium_term,1,Communications,84.4,All undergraduate fields,91.1,6.7,gos_l_6,13,discipline
study_area_teacher_education,Study area,short_term,0,All undergraduate fields,74.0,Teacher education,86.8,12.8,gos_2,14,discipline
study_area_teacher_education,Study area,medium_term,1,All undergraduate fields,91.1,Teacher education,95.7,4.6,gos_l_6,14,discipline
study_area_dentistry,Study area,short_term,0,All undergraduate fields,74.0,Dentistry,85.6,11.6,gos_2,15,discipline
study_area_dentistry,Study area,medium_term,1,All undergraduate fields,91.1,Dentistry,97.1,6.0,gos_l_6,15,discipline
study_area_engineering,Study area,short_term,0,All undergraduate fields,74.0,Engineering,85.5,11.5,gos_2,16,discipline
study_area_engineering,Study area,medium_term,1,All undergraduate fields,91.1,Engineering,94.6,3.5,gos_l_6,16,discipline
study_area_nursing,Study area,short_term,0,All undergraduate fields,74.0,Nursing,85.5,11.5,gos_2,17,discipline
study_area_nursing,Study area,medium_term,1,All undergraduate fields,91.1,Nursing,93.3,2.2,gos_l_6,17,discipline
study_area_veterinary_science,Study area,short_term,0,All undergraduate fields,74.0,Veterinary science,84.7,10.7,gos_2,18,discipline
study_area_veterinary_science,Study area,medium_term,1,All undergraduate fields,91.1,Veterinary science,90.0,-1.1,gos_l_6,18,discipline
study_area_science_and_mathematics,Study area,short_term,0,Science and mathematics,63.6,All undergraduate fields,74.0,10.4,gos_2,19,discipline
study_area_science_and_mathematics,Study area,medium_term,1,Science and mathematics,88.8,All undergraduate fields,91.1,2.3,gos_l_6,19,discipline
study_area_psychology,Study area,short_term,0,Psychology,65.5,All undergraduate fields,74.0,8.5,gos_2,20,discipline
study_area_psychology,Study area,medium_term,1,Psychology,88.5,All undergraduate fields,91.1,2.6,gos_l_6,20,discipline
study_area_architecture_and_built_environment,Study area,short_term,0,Architecture and built environment,66.6,All undergraduate fields,74.0,7.4,gos_2,21,discipline
study_area_architecture_and_built_environment,Study area,medium_term,1,Architecture and built environment,87.1,All undergraduate fields,91.1,4.0,gos_l_6,21,discipline
study_area_humanities_culture_and_social_sciences,Study area,short_term,0,"Humanities, culture and social sciences",66.7,All undergraduate fields,74.0,7.3,gos_2,22,discipline
study_area_humanities_culture_and_social_sciences,Study area,medium_term,1,"Humanities, culture and social sciences",89.0,All undergraduate fields,91.1,2.1,gos_l_6,22,discipline
study_area_computing_and_information_systems,Study area,short_term,0,Computing and information systems,67.8,All undergraduate fields,74.0,6.2,gos_2,23,discipline
study_area_computing_and_information_systems,Study area,medium_term,1,Computing and information systems,93.0,All undergraduate fields,91.1,-1.9,gos_l_6,23,discipline
study_area_law_and_paralegal_studies,Study area,short_term,0,All undergraduate fields,74.0,Law and paralegal studies,79.3,5.3,gos_2,24,discipline
study_area_law_and_paralegal_studies,Study area,medium_term,1,All undergraduate fields,91.1,Law and paralegal studies,95.8,4.7,gos_l_6,24,discipline
study_area_business_and_management,Study area,short_term,0,All undergraduate fields,74.0,Business and management,78.5,4.5,gos_2,25,discipline
study_area_business_and_management,Study area,medium_term,1,All undergraduate fields,91.1,Business and management,93.8,2.7,gos_l_6,25,discipline
study_area_tourism_hospitality_personal_services_sport_and_recreation,Study area,short_term,0,"Tourism, hospitality, personal services, sport and recreation",69.8,All undergraduate fields,74.0,4.2,gos_2,26,discipline
study_area_tourism_hospitality_personal_services_sport_and_recreation,Study area,medium_term,1,"Tourism, hospitality, personal services, sport and recreation",84.4,All undergraduate fields,91.1,6.7,gos_l_6,26,discipline
study_area_agriculture_and_environmental_studies,Study area,short_term,0,All undergraduate fields,74.0,Agriculture and environmental studies,77.8,3.8,gos_2,27,discipline
study_area_agriculture_and_environmental_studies,Study area,medium_term,1,All undergraduate fields,91.1,Agriculture and environmental studies,91.1,0.0,gos_l_6,27,discipline
study_area_social_work,Study area,short_term,0,All undergraduate fields,74.0,Social work,77.3,3.3,gos_2,28,discipline
study_area_social_work,Study area,medium_term,1,All undergraduate fields,91.1,Social work,92.1,1.0,gos_l_6,28,discipline
study_area_health_services_and_support,Study area,short_term,0,All undergraduate fields,74.0,Health services and support,75.4,1.4,gos_2,29,discipline
study_area_health_services_and_support,Study area,medium_term,1,All undergraduate fields,91.1,Health services and support,92.8,1.7,gos_l_6,29,discipline
